,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,latitude,longitude,title,url,Listing Month,Listing Year,lat_long,FullAddy
16,82,2,6,Austin,Dec-15,"Cute two bedroom with lots of windows, sunny back deck, front porch in friendly neighborhood (Hyde Park, Austin) near UT and downtown. Easy walk to coffee shops and restaurants!",30.309522,-97.73171047,Cosy 2 Bedroom in Hyde Park!,https://www.airbnb.com/rooms/18550276?location=Cedar%20Park%2C%20TX,December,2015,"30.3095220042058,-97.73171047109501","4400 Avenue B, Austin, TX 78751, USA"
28,110,1,4,Austin,Sep-15,"Comfortable Traditional Interior Furniture in Amazing Location minutes Drive to SoCo, Downtown, ACL, &amp; SXSW. Walk to SoLa Eateries Coffee or Bars! Large queen bed &amp; sofa double bed comfortably accommodates up to 4. Free WiFi, Cable TV &amp; 1 Reserved Parking.",30.24429616,-97.77446858,Fabulous Central Austin Condo!,https://www.airbnb.com/rooms/13571814?location=Austin%2C%20TX,September,2015,"30.244296163892898,-97.7744685806115","2414 Kinney Rd, Austin, TX 78704, USA"
33,119,1,4,Austin,Aug-10,"Just minutes from Austin's main attractions, entire 400 sq ft attached apartment in desirable Tarrytown (1940s) neighborhood with living room, bedroom and bath. We are licensed by the City of Austin to operate a Short Term Rental. NOTE: 15% HOTEL OCCUPANCY TAX INCLUDED IN PRICE!",30.30038194,-97.77885789,Sunny Central Austin Apartment,https://www.airbnb.com/rooms/46929?location=Colorado%20River%2C%20TX,August,2010,"30.300381938339,-97.77885789311449","2007 Leberman Ln, Austin, TX 78703, USA"
37,105,1,4,Austin,Jan-12,Modern remodeled Spartan on a large shaded lot.,30.27752338,-97.71919076,Chic 1953 Spartanette Guesthouse,https://www.airbnb.com/rooms/321636?location=Colorado%20River%2C%20TX,January,2012,"30.2775233800895,-97.7191907633739","1603 Poquito St, Austin, TX 78702, USA"
45,50,1,3,Austin,Jun-17,"Apartment finished to a high standard, for people who value prestige. The apartment is furnished, ready to move in.",30.23294081,-97.58937812,Lovely private room,https://www.airbnb.com/rooms/19209856?location=Cedar%20Creek%2C%20TX,June,2017,"30.232940805892802,-97.58937812320829","14511 Deaf Smith Blvd, Austin, TX 78725, USA"
70,130,1,5,Austin,Mar-14,"*Not an actual Treehouse\n\nWelcome to my spacious 1 bedroom apartment located on the 2nd floor. Huge windows, a working fireplace, laminate hardwood floors, wifi, and a comfortable queen size bed are just a few perks this great space offers. I offer a self check-in so you are welcome to arrive anytime after the check-in time that's convenient for you.",30.23038507,-97.76581095,Treehouse Oasis with 2 bikes,https://www.airbnb.com/rooms/4279079?location=Colorado%20River%2C%20TX,March,2014,"30.2303850707103,-97.7658109511145","3501 S 1st St, Austin, TX 78704, USA"
84,135,2,7,Austin,Nov-16,"If you're looking for a comfortable place in Brentwood with character then you've found it. It's a great launching pad for your Austin adventure located right in the Burnet district a stones throw to quick public transit downtown. Walk to several bars including Lala's (famous Christmas bar), Yard Bar, Pour House, or Aristocrat and several top notch restaurants: Stubb's BBQ, Bufalina Due, Barley Swine, Flyrite, or Lick!",30.34285933,-97.73598704,Austin Private Patio Convenient Downtown - Burnet,https://www.airbnb.com/rooms/16067140?location=Cedar%20Park%2C%20TX,November,2016,"30.342859330909995,-97.73598703923821","6708 Modesto St, Austin, TX 78757, USA"
111,199,1,5,Austin,Jun-14,"Enjoy our newly built, spacious modern back home right on the hike and bike trail! It quiet and peaceful yet less than a mile from Rainey Street nightlife and downtown Austin. You will have our garden home to yourself with hosts on property. Family-friendly, peaceful abode.",30.24962237,-97.72215443,Serene and Modern Urban Paradise,https://www.airbnb.com/rooms/3386939?location=Colorado%20River%2C%20TX,June,2014,"30.2496223655014,-97.7221544297956","2215 Riverview St, Austin, TX 78702, USA"
129,115,3,9,Round Rock,May-16,"Texas cottage in great location: Approx. 8 miles to the Domain and Whole Foods in Austin, TX. / 25 minutes to downtown Austin. / 4 miles to Dell Corporation in Round Rock and within 5 miles of The Dell Diamond and the Round Rock Express / Easy access to major roads and a Beeline to the airport. Entire home available. It is 3 bedrooms and 2 1/2 baths. Clean, light and airy, comfortable home with hospitable hosts.",30.50945534,-97.65806608,On The Trail - Love Austin/Round Rock Entire Home,https://www.airbnb.com/rooms/16605295?location=Coupland%2C%20TX,May,2016,"30.5094553405402,-97.6580660775221","1605 Corn Hill Ln, Round Rock, TX 78664, USA"
162,454,3,5,Austin,Feb-13,"Walk to everything. Enjoy the best that downtown Austin has to offer from nightlife, bars, and restaurants to shopping, yoga, and the great outdoors. This swanky condo is perfectly located in the heart of ATX, and provides access to a community pool.",30.26594744,-97.74144275,The Railyard Oasis Located Downtown,https://www.airbnb.com/rooms/917932?location=Colorado%20River%2C%20TX,February,2013,"30.2659474442269,-97.74144275164379","216 E 4th St, Austin, TX 78701, USA"
165,201,4,10,Austin,Mar-17,"My place is close to parks and restaurants and dining. You can walk to the grocery store, Starbucks, and a couple restaurants and bars. You‰Ûªll love my place because of the privacy and easy drive to downtown and the chill backyard with hammock, BBQ, and trampoline. My place is good for business travelers, families (with kids), and big groups. **Note: my friendly cat Hondo will be home. You can basically ignore him, but if you are allergic this may not be the best home for you**",30.20515821,-97.8782895,4 BR Home 20 Minutes to Downtown or Hill Country,https://www.airbnb.com/rooms/17499008?location=Bee%20Cave%2C%20TX,March,2017,"30.2051582082483,-97.8782894974444","6017 Salcon Cliff Dr, Austin, TX 78749, USA"
184,74,1,6,Austin,Nov-15,"Live like a local in eclectic South Austin. Private bedroom, full-bath &amp; sitting room in classic 1950's Austin ranch-style home with native garden habitat. Close to coffee shop, yoga, organic co-op, live music venue. Easy bus or ride share downtown.",30.22363485,-97.78329845,Be Local South ATX Garden Suite,https://www.airbnb.com/rooms/9463945?location=Austin%2C%20TX,November,2015,"30.2236348464854,-97.7832984480592","4501 Gillis St, Austin, TX 78745, USA"
185,42,1,9,Austin,Aug-11,Spacious double room in a charming renovated East Austin bungalow. Fully renovated in 2016.\n\nThe double room very comfortably fits 2 and has its own private bathroom (not ensuite). The neighborhood is 2 miles from downtown and just a short Fasten ride away. 10 mins from Austin airport. Cafes/restaurants/bars in walking distance.,30.2759184,-97.71321066,Comfy dble room and private bath - East Austin,https://www.airbnb.com/rooms/2600667?location=Austin%2C%20TX,August,2011,"30.2759184006178,-97.71321066296841","2600 E 13th St, Austin, TX 78702, USA"
187,169,2,7,Austin,Mar-11,"Beautifully renovated two bedroom cottage that is registered with the City of Austin and not subject to any hostile moves by code compliance (kicking out guests, fining owners, etc) All legal. Wonderful Deck with Hot Tub and Remodeled Cottage. Two miles from Downtown and close to MLK rail. \n\nThe pics and testimonials tell the story, come stay!",30.28283226,-97.70820152,EASTSIDE COTTAGE W HOT TUB AND DECK,https://www.airbnb.com/rooms/2124026?location=Brazos%20River%2C%20TX,March,2011,"30.2828322562032,-97.7082015212344","2906 E Martin Luther King Jr Blvd, Austin, TX 78702, USA"
196,425,3,3,Kyle,Aug-15,"Welcome to our cozy retreat just minutes away from Austin, San Marcos, and the Hill Country. Rather its shopping, Circuit of the Americas, SXSW we are centrally located. Situated on a golf course with a beautiful backyard oasis to enjoy your return. We do live on property so we can't take any bookings without at least 3 days notice so we can prepare for arrival.",30.01653024,-97.87897809,Kyle Retreat-Swimming pool/Spa,https://www.airbnb.com/rooms/7651664?location=Buda%2C%20TX,August,2015,"30.0165302367833,-97.87897808561571","232 McGarity, Kyle, TX 78640, USA"
218,410,3,3,Austin,Apr-17,"This custom built villa with over-sized balcony located in Oak Shores on Lake Austin community and is 30 mins away from downtown Austin. This unique home on 1.07 wooded acres offers privacy, has a gated driveway, and is located close to Ski Shores Marina. With a fairy-tale ambience, you'll find dark wood finishes &amp; stained concrete flooring, a cat-walk, floor-to-ceiling fireplace with vaulted ceilings and exposed beams.",30.33816909,-97.82413058,Ski Shores Villa,https://www.airbnb.com/rooms/18293433?location=Bee%20Cave%2C%20TX,April,2017,"30.3381690892277,-97.8241305812105","3221 Pearce Rd, Austin, TX 78730, USA"
